Question,Answer
What is the weather like in Seattle?,"Despite Hollywood’s repeated claims that Seattle is dark and rainy, the delightful weather in the city is a local’s best-kept-secret. Ranging from sun-drenched summers to artistically grey winters, precipitation is typically a light mist. In fact, Seattle is only the 24th rainiest city in the US with an average annual rainfall of 38.6 inches."
What does Seattle rain like?,"In fact, Seattle is only the 24th rainiest city in the US with an average annual rainfall of 38.6 inches. While many in the area won't bother to carry an umbrella, a good rain jacket is a staple in the Puget Sound area, especially between the wetter months of October through May."
What does Seattle rain like?,"In fact, Seattle is only the 24th rainiest city in the US with an average annual rainfall of 38.6 inches. While many in the area won’t bother to carry an umbrella, a good rain jacket is a staple in the Puget Sound area, especially between the wetter months of October through May."
How does Seattle temperature like?,"Our temperate climate with few extremes prevents any need for deep winter gear – although our nearby mountain ranges provide plenty of opportunity for your student to break out their favorite parka. The typical Northwest weather pattern is characterized by wonderfully warm (but not too hot or humid) summers, upper 70s on average, and moderate winters with low 40s on average."
How many campus does UW have?,"The University of Washington has three campuses, Bothell,Tacomma and Seattle."
Where is the UW campus?,"The University of Washington’s three campuses can be found in Bothell, Tacoma and Seattle, WA. The flagship Seattle campus, located in the beautiful northeast corner of Seattle, covers over 690 acres."
how large is the uw seattle campus?,"Seattle campus, located in the beautiful northeast corner of Seattle, covers over 690 acres."
What is U-Pass? How can we use U-Pass?,"The U-PASS provides students with a variety of low-cost transportation options—from unlimited rides on King County Metro Transit buses, commuter train service and Link Light Rail and Sounder Trains, to vanpooling and discounted imprompt carpooling. Full fare coverage on King County Water Taxis, Seattle Streetcar, unlimited rides on NightRide, discounted & priority carpool parking at gatehouses and selected lots, vanpool and vanshare fare credits, and low membership rate for Zipcar make the U-PASS an invaluable addition to the UW student experience."
"If I visit UW, where can I stay?","There are many hotels within walking distance of the University, and the entirety of the downtown Seattle hotel scene is easily accessible to campus via the Light Rail."
How do I learn more about. the residence hall schedule?,"The residence halls remain open over the Thanksgiving break and spring break; however, no on-campus dining service is offered during the Thanksgiving break. The residence halls, with the exception of Lander Hall, Mercer Court and Stevens Court, are closed to all students during winter break."
How do I learn more about. the residence hall schedule?,"The residence halls remain open over the Thanksgiving break and spring break; however, no on-campus dining service is offered during the Thanksgiving break. The residence halls, with the exception of Lander Hall, Mercer Court and Stevens Court, are closed to all students during winter break."
How does students ship items to their residence hall prior to move in?,"One week before your student’s move in date, they may ship boxes directly to their new residence hall address to be picked up at the front desk when they arrive. All shipped items will be stored until residents retrieve them during the check-in period. The UW does not assume financial responsibility for such items."
How do I catch a husky football game?,"Go Dawgs! Single game tickets can be bought starting in August at 206-543-2200 or online. Parent & Family Programs offers discounted football tickets during Fall Football Family Weekend every year, so stay tuned for updates on Fall Football Family Weekend here, on our Facebook page and in our newsletter."
When and how do I pay tuition?,"Tuition is always due the 3rd Friday of the quarter and can be paid via credit card, web check, or in person. Information about tuition, e-billing and late fees can be found on the Student Fiscal Services website."
How can an international student obtain a social security number?,US social security numbers are issued to international students who have been offered on-campus employment or are authorized for off-campus employment. A Social Security number will not be issued for non-work purposes.
How do international student get health insurance?,All international students at UW are required by federal and state laws to maintain health insurance while studying in the United States. Review the details of the plan on the International Student Health Insurance Plan website.
What are the best UW calendar to keep an eye on?,"To stay up to date on what’s going on all over campus, check out the UW Academic Calendar, Seattle Campus Calendar and Husky Athletic Calendar."
When should student to start engage in career persuit?,"It’s never too early to begin thinking about career development! Explore career resources for students, student internships on and off campus, student jobs, and classes that students excellent experience to develop transferable skills that will prepare them for post-grad career exploration."
what kind of scholarship are available?,Information about scholarships for UW students can be found at the Office of Merit Scholarship Fellowships & Awards.
